# KE:   0.23 MeV, L:  2 
# V0: -40.51 MeV, R0:   7.56 fm, a0:   0.71 fm
# start: 0.00010 fm, dr:0.100, end:  200.00010 fm, nStep: 2000 
#           r          Pot  (Pot+Cent.)            u        du/dr            R        dR/dr           KE
#----------
    13.900100    -0.005231     0.638243  2342.507115  -180.682638   169.745662   -25.393171     0.230000
    14.000100    -0.004546     0.629769  2324.667423  -176.132905   167.241057   -24.702985     0.230000
    14.100100    -0.003950     0.621399  2307.276251  -171.711652   164.804269   -24.036680     0.230000
    14.200100    -0.003433     0.613140  2290.320925  -167.415429   162.432956   -23.393337     0.230000
    14.300100    -0.002983     0.604997  2273.789111  -163.240822   160.124866   -22.772071     0.230000
    14.400100    -0.002592     0.596973  2257.668818  -159.184473   157.877834   -22.172034     0.230000
    14.500100    -0.002252     0.589071  2241.948385  -155.243082   155.689779   -21.592410     0.230000
    14.600100    -0.001957     0.581294  2226.616478  -151.413423   153.558698   -21.032415     0.230000
    14.700100    -0.001701     0.573642  2211.662081  -147.692339   151.482667   -20.491298     0.230000
    14.800100    -0.001478     0.566116  2197.074493  -144.076753   149.459833   -19.968339     0.230000
    14.900100    -0.001284     0.558717  2182.843314  -140.563671   147.488417   -19.462847     0.230000
    15.000100    -0.001116     0.551443  2168.958440  -137.150177   145.566704   -18.974160     0.230000
    15.100100    -0.000970     0.544295  2155.410054  -133.833442   143.693046   -18.501642     0.230000
    15.200100    -0.000842     0.537272  2142.188618  -130.610719   141.865856   -18.044687     0.230000
    15.300100    -0.000732     0.530371  2129.284865  -127.479346   140.083609   -17.602710     0.230000
    15.400100    -0.000636     0.523592  2116.689790  -124.436741   138.344834   -17.175154     0.230000
    15.500100    -0.000553     0.516933  2104.394641  -121.480406   136.648115   -16.761483     0.230000
    15.600100    -0.000480     0.510392  2092.390914  -118.607922   134.992091   -16.361186     0.230000
    15.700100    -0.000417     0.503968  2080.670340  -115.816950   133.375449   -15.973769     0.230000
    15.800100    -0.000363     0.497658  2069.224882  -113.105225   131.796924   -15.598764     0.230000
    15.900100    -0.000315     0.491461  2058.046726  -110.470559   130.255298   -15.235717     0.230000
    16.000100    -0.000274     0.485374  2047.128272  -107.910837   128.749396   -14.884198     0.230000
    16.100100    -0.000238     0.479396  2036.462129  -105.424013   127.278088   -14.543790     0.230000
    16.200100    -0.000207     0.473524  2026.041106  -103.008110   125.840281   -14.214098     0.230000
    16.300100    -0.000180     0.467757  2015.858207  -100.661219   124.434924   -13.894738     0.230000
    16.400100    -0.000156     0.462091  2005.906623   -98.381494   123.061001   -13.585346     0.230000
    16.500100    -0.000136     0.456526  1996.179729   -96.167151   121.717534   -13.285570     0.230000
    16.600100    -0.000118     0.451058  1986.671071   -94.016465   120.403578   -12.995075     0.230000
    16.700100    -0.000102     0.445686  1977.374369   -91.927772   119.118220   -12.713537     0.230000
    16.800100    -0.000089     0.440409  1968.283504   -89.899461   117.860582   -12.440647     0.230000
    16.900100    -0.000077     0.435223  1959.392516   -87.929977   116.629813   -12.176105     0.230000
    17.000100    -0.000067     0.430127  1950.695598   -86.017814   115.425092   -11.919628     0.230000
    17.100100    -0.000058     0.425119  1942.187091   -84.161519   114.245627   -11.670940     0.230000
    17.200100    -0.000051     0.420197  1933.861479   -82.359685   113.090653   -11.429778     0.230000
    17.300100    -0.000044     0.415359  1925.713384   -80.610954   111.959430   -11.195887     0.230000
    17.400100    -0.000038     0.410604  1917.737562   -78.914009   110.851241   -10.969026     0.230000
    17.500100    -0.000033     0.405929  1909.928899   -77.267580   109.765398   -10.748960     0.230000
    17.600100    -0.000029     0.401334  1902.282404   -75.670435   108.701230   -10.535464     0.230000
    17.700100    -0.000025     0.396815  1894.793209   -74.121384   107.658093   -10.328321     0.230000
    17.800100    -0.000022     0.392372  1887.456562   -72.619273   106.635362   -10.127323     0.230000
    17.900100    -0.000019     0.388003  1880.267826   -71.162988   105.632431    -9.932271     0.230000
    18.000100    -0.000016     0.383706  1873.222473   -69.751447   104.648716    -9.742971     0.230000
    18.100100    -0.000014     0.379480  1866.316080   -68.383606   103.683651    -9.559239     0.230000
    18.200100    -0.000012     0.375323  1859.544329   -67.058450   102.736688    -9.380895     0.230000
    18.300100    -0.000011     0.371234  1852.903000   -65.774998   101.807298    -9.207768     0.230000
    18.400100    -0.000009     0.367211  1846.387971   -64.532299   100.894966    -9.039692     0.230000
    18.500100    -0.000008     0.363253  1839.995213   -63.329430    99.999196    -8.876508     0.230000
    18.600100    -0.000007     0.359359  1833.720787   -62.165497    99.119507    -8.718061     0.230000
    18.700100    -0.000006     0.355526  1827.560845   -61.039634    98.255431    -8.564205     0.230000
    18.800100    -0.000005     0.351755  1821.511620   -59.951001    97.406518    -8.414796     0.230000
    18.900100    -0.000005     0.348043  1815.569431   -58.898780    96.572328    -8.269696     0.230000
    19.000100    -0.000004     0.344390  1809.730676   -57.882181    95.752439    -8.128773     0.230000
    19.100100    -0.000004     0.340794  1803.991833   -56.900436    94.946439    -7.991899     0.230000
    19.200100    -0.000003     0.337253  1798.349452   -55.952798    94.153929    -7.858950     0.230000
    19.300100    -0.000003     0.333768  1792.800160   -55.038544    93.374522    -7.729807     0.230000
    19.400100    -0.000002     0.330336  1787.340654   -54.156969    92.607844    -7.604355     0.230000
    19.500100    -0.000002     0.326957  1781.967700   -53.307390    91.853532    -7.482483     0.230000
    19.600100    -0.000002     0.323630  1776.678132   -52.489143    91.111232    -7.364084     0.230000
    19.700100    -0.000002     0.320353  1771.468848   -51.701583    90.380603    -7.249054     0.230000
    19.800100    -0.000001     0.317125  1766.336813   -50.944080    89.661312    -7.137293     0.230000
    19.900100    -0.000001     0.313946  1761.279051   -50.216025    88.953038    -7.028705     0.230000
    20.000100    -0.000001     0.310815  1756.292647   -49.516823    88.255468    -6.923196     0.230000
    20.100100    -0.000001     0.307730  1751.374744   -48.845896    87.568299    -6.820676     0.230000
    20.200100    -0.000001     0.304691  1746.522544   -48.202682    86.891237    -6.721057     0.230000
    20.300100    -0.000001     0.301696  1741.733302   -47.586633    86.223994    -6.624256     0.230000
    20.400100    -0.000001     0.298746  1737.004329   -46.997215    85.566294    -6.530190     0.230000
    20.500100    -0.000000     0.295838  1732.332988   -46.433909    84.917867    -6.438781     0.230000
    20.600100    -0.000000     0.292973  1727.716694   -45.896208    84.278452    -6.349952     0.230000
    20.700100    -0.000000     0.290149  1723.152910   -45.383618    83.647793    -6.263630     0.230000
    20.800100    -0.000000     0.287366  1718.639149   -44.895659    83.025645    -6.179743     0.230000
    20.900100    -0.000000     0.284623  1714.172973   -44.431861    82.411766    -6.098222     0.230000
    21.000100    -0.000000     0.281919  1709.751987   -43.991767    81.805924    -6.018999     0.230000
    21.100100    -0.000000     0.279253  1705.373844   -43.574929    81.207892    -5.942011     0.230000
    21.200100    -0.000000     0.276625  1701.036240   -43.180912    80.617449    -5.867193     0.230000
    21.300100    -0.000000     0.274033  1696.736915   -42.809290    80.034383    -5.794486     0.230000
    21.400100    -0.000000     0.271478  1692.473650   -42.459648    79.458484    -5.723829     0.230000
    21.500100    -0.000000     0.268959  1688.244266   -42.131580    78.889550    -5.655167     0.230000
    21.600100    -0.000000     0.266474  1684.046628   -41.824688    78.327386    -5.588443     0.230000
    21.700100    -0.000000     0.264024  1679.878636   -41.538586    77.771799    -5.523603     0.230000
    21.800100    -0.000000     0.261607  1675.738230   -41.272894    77.222604    -5.460597     0.230000
    21.900100    -0.000000     0.259224  1671.623389   -41.027242    76.679620    -5.399373     0.230000
    22.000100    -0.000000     0.256873  1667.532126   -40.801267    76.142672    -5.339881     0.230000
    22.100100    -0.000000     0.254553  1663.462492   -40.594613    75.611588    -5.282076     0.230000
    22.200100    -0.000000     0.252265  1659.412571   -40.406935    75.086202    -5.225910     0.230000
    22.300100    -0.000000     0.250008  1655.380483   -40.237891    74.566353    -5.171339     0.230000
    22.400100    -0.000000     0.247781  1651.364383   -40.087149    74.051882    -5.118319     0.230000
    22.500100    -0.000000     0.245583  1647.362455   -39.954382    73.542638    -5.066809     0.230000
    22.600100    -0.000000     0.243414  1643.372918   -39.839271    73.038472    -5.016766     0.230000
    22.700100    -0.000000     0.241275  1639.394022   -39.741502    72.539238    -4.968152     0.230000
    22.800100    -0.000000     0.239163  1635.424050   -39.660768    72.044795    -4.920928     0.230000
    22.900100    -0.000000     0.237079  1631.461311   -39.596767    71.555007    -4.875056     0.230000
    23.000100    -0.000000     0.235022  1627.504148   -39.549205    71.069740    -4.830501     0.230000
    23.100100    -0.000000     0.232991  1623.550932   -39.517790    70.588864    -4.787225     0.230000
    23.200100    -0.000000     0.230987  1619.600061   -39.502238    70.112253    -4.745196     0.230000
    23.300100    -0.000000     0.229008  1615.649965   -39.502270    69.639785    -4.704379     0.230000
    23.400100    -0.000000     0.227055  1611.699097   -39.517609    69.171338    -4.664742     0.230000
    23.500100    -0.000000     0.225127  1607.745941   -39.547987    68.706798    -4.626253     0.230000
    23.600100    -0.000000     0.223223  1603.789007   -39.593139    68.246050    -4.588882     0.230000
    23.700100    -0.000000     0.221344  1599.826830   -39.652803    67.788985    -4.552599     0.230000
    23.800100    -0.000000     0.219487  1595.857972   -39.726722    67.335495    -4.517374     0.230000
    23.900100    -0.000000     0.217655  1591.881019   -39.814646    66.885476    -4.483180     0.230000
    24.000100    -0.000000     0.215845  1587.894584   -39.916325    66.438826    -4.449988     0.230000
    24.100100    -0.000000     0.214057  1583.897303   -40.031515    65.995446    -4.417772     0.230000
