 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 01, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\2H_in_CD2.txt

 Ion = Hydrogen [1] , Mass = 2 amu

 Target Density =  9.1800E-01 g/cm3 = 1.1041E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    033.33    007.18   
      C      6    016.67    042.82   
      H      1    033.33    007.18   
      C      6    016.67    042.82   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  65.00 MeV   1.615E+00  8.099E-04   22.11 mm   905.20 um   358.37 um  
  70.00 MeV   1.520E+00  7.566E-04   25.30 mm     1.01 mm   408.70 um  
  80.00 MeV   1.364E+00  6.693E-04   32.24 mm     1.42 mm   517.84 um  
  90.00 MeV   1.240E+00  6.005E-04   39.92 mm     1.79 mm   637.92 um  
 100.00 MeV   1.140E+00  5.450E-04   48.33 mm     2.16 mm   768.55 um  
 110.00 MeV   1.056E+00  4.992E-04   57.44 mm     2.52 mm   909.36 um  
 120.00 MeV   9.858E-01  4.608E-04   67.23 mm     2.88 mm     1.06 mm  
 130.00 MeV   9.255E-01  4.280E-04   77.70 mm     3.25 mm     1.22 mm  
 140.00 MeV   8.733E-01  3.997E-04   88.81 mm     3.62 mm     1.39 mm  
 150.00 MeV   8.277E-01  3.750E-04  100.57 mm     3.99 mm     1.57 mm  
 160.00 MeV   7.874E-01  3.533E-04  112.95 mm     4.37 mm     1.76 mm  
 170.00 MeV   7.516E-01  3.341E-04  125.94 mm     4.75 mm     1.95 mm  
 180.00 MeV   7.196E-01  3.169E-04  139.53 mm     5.13 mm     2.15 mm  
 200.00 MeV   6.646E-01  2.875E-04  168.43 mm     6.58 mm     2.59 mm  
 225.00 MeV   6.090E-01  2.578E-04  207.72 mm     8.64 mm     3.17 mm  
 250.00 MeV   5.639E-01  2.338E-04  250.36 mm    10.56 mm     3.79 mm  
 275.00 MeV   5.267E-01  2.141E-04  296.21 mm    12.42 mm     4.46 mm  
 300.00 MeV   4.954E-01  1.975E-04  345.13 mm    14.25 mm     5.17 mm  
 325.00 MeV   4.688E-01  1.833E-04  396.98 mm    16.06 mm     5.91 mm  
 350.00 MeV   4.458E-01  1.712E-04  451.64 mm    17.86 mm     6.69 mm  
 375.00 MeV   4.257E-01  1.605E-04  509.00 mm    19.65 mm     7.50 mm  
 400.00 MeV   4.081E-01  1.512E-04  568.94 mm    21.44 mm     8.33 mm  
 450.00 MeV   3.786E-01  1.355E-04  696.10 mm    28.05 mm    10.10 mm  
 500.00 MeV   3.549E-01  1.229E-04  832.46 mm    34.11 mm    11.96 mm  
 550.00 MeV   3.354E-01  1.125E-04  977.34 mm    39.87 mm    13.92 mm  
 600.00 MeV   3.191E-01  1.037E-04    1.13 m     45.42 mm    15.95 mm  
 650.00 MeV   3.053E-01  9.627E-05    1.29 m     50.84 mm    18.06 mm  
 700.00 MeV   2.935E-01  8.985E-05    1.46 m     56.14 mm    20.23 mm  
