 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 01, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\3H_in_CD2.txt

 Ion = Hydrogen [1] , Mass = 3.015 amu

 Target Density =  9.1800E-01 g/cm3 = 1.1041E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    033.33    007.18   
      C      6    016.67    042.82   
      H      1    033.33    007.18   
      C      6    016.67    042.82   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  18.00 MeV   6.459E+00  3.895E-03    1.57 mm    57.09 um    22.74 um  
  20.00 MeV   5.932E+00  3.540E-03    1.89 mm    73.40 um    27.24 um  
  22.50 MeV   5.392E+00  3.181E-03    2.33 mm    96.76 um    33.37 um  
  25.00 MeV   4.950E+00  2.890E-03    2.81 mm   118.89 um    40.04 um  
  27.50 MeV   4.580E+00  2.650E-03    3.34 mm   140.57 um    47.24 um  
  30.00 MeV   4.266E+00  2.448E-03    3.90 mm   162.16 um    54.97 um  
  32.50 MeV   3.995E+00  2.276E-03    4.51 mm   183.85 um    63.21 um  
  35.00 MeV   3.760E+00  2.127E-03    5.15 mm   205.74 um    71.96 um  
  37.50 MeV   3.553E+00  1.997E-03    5.84 mm   227.88 um    81.21 um  
  40.00 MeV   3.370E+00  1.883E-03    6.56 mm   250.32 um    90.95 um  
  45.00 MeV   3.059E+00  1.691E-03    8.12 mm   334.50 um   111.88 um  
  50.00 MeV   2.805E+00  1.535E-03    9.82 mm   413.65 um   134.71 um  
  55.00 MeV   2.594E+00  1.407E-03   11.68 mm   490.95 um   159.40 um  
  60.00 MeV   2.415E+00  1.299E-03   13.67 mm   567.78 um   185.90 um  
  65.00 MeV   2.261E+00  1.207E-03   15.81 mm   644.84 um   214.17 um  
  70.00 MeV   2.127E+00  1.128E-03   18.09 mm   722.51 um   244.20 um  
  80.00 MeV   1.906E+00  9.978E-04   23.05 mm     1.01 mm   309.39 um  
  90.00 MeV   1.731E+00  8.955E-04   28.56 mm     1.28 mm   381.23 um  
 100.00 MeV   1.588E+00  8.128E-04   34.58 mm     1.54 mm   459.52 um  
 110.00 MeV   1.470E+00  7.445E-04   41.13 mm     1.80 mm   544.09 um  
 120.00 MeV   1.370E+00  6.872E-04   48.17 mm     2.06 mm   634.76 um  
 130.00 MeV   1.284E+00  6.384E-04   55.71 mm     2.33 mm   731.38 um  
 140.00 MeV   1.209E+00  5.962E-04   63.73 mm     2.59 mm   833.81 um  
 150.00 MeV   1.144E+00  5.594E-04   72.23 mm     2.86 mm   941.91 um  
 160.00 MeV   1.087E+00  5.271E-04   81.19 mm     3.14 mm     1.06 mm  
 170.00 MeV   1.036E+00  4.984E-04   90.61 mm     3.41 mm     1.17 mm  
 180.00 MeV   9.897E-01  4.728E-04  100.48 mm     3.70 mm     1.30 mm  
 200.00 MeV   9.109E-01  4.289E-04  121.54 mm     4.76 mm     1.56 mm  
 225.00 MeV   8.309E-01  3.847E-04  150.27 mm     6.27 mm     1.92 mm  
 250.00 MeV   7.660E-01  3.490E-04  181.60 mm     7.70 mm     2.31 mm  
 275.00 MeV   7.123E-01  3.195E-04  215.43 mm     9.08 mm     2.73 mm  
 300.00 MeV   6.671E-01  2.947E-04  251.68 mm    10.44 mm     3.17 mm  
 325.00 MeV   6.285E-01  2.737E-04  290.28 mm    11.80 mm     3.64 mm  
 350.00 MeV   5.951E-01  2.555E-04  331.14 mm    13.16 mm     4.13 mm  
 375.00 MeV   5.660E-01  2.397E-04  374.20 mm    14.53 mm     4.65 mm  
 400.00 MeV   5.403E-01  2.257E-04  419.39 mm    15.89 mm     5.19 mm  
 450.00 MeV   4.972E-01  2.024E-04  515.84 mm    20.99 mm     6.33 mm  
 500.00 MeV   4.623E-01  1.835E-04  620.11 mm    25.70 mm     7.56 mm  
 550.00 MeV   4.336E-01  1.679E-04  731.76 mm    30.21 mm     8.85 mm  
 600.00 MeV   4.095E-01  1.549E-04  850.40 mm    34.61 mm    10.22 mm  
 650.00 MeV   3.889E-01  1.438E-04  975.65 mm    38.93 mm    11.64 mm  
 700.00 MeV   3.713E-01  1.342E-04    1.11 m     43.20 mm    13.13 mm  
 800.00 MeV   3.425E-01  1.185E-04    1.39 m     58.74 mm    16.25 mm  
 900.00 MeV   3.200E-01  1.062E-04    1.69 m     72.74 mm    19.56 mm  
   1.00 GeV   3.020E-01  9.625E-05    2.01 m     85.90 mm    23.03 mm  
   1.10 GeV   2.872E-01  8.806E-05    2.35 m     98.51 mm    26.62 mm  
