 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 05, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_in_CH2.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  9.3000E-01 g/cm3 = 1.1979E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    022.22    004.79   
      C      6    011.11    028.54   
      H      1    044.44    009.58   
      C      6    022.22    057.09   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.00 GeV   2.152E-01  3.971E-05    3.31 m    132.18 mm    54.17 mm  
   1.10 GeV   2.110E-01  3.632E-05    3.78 m    148.10 mm    60.62 mm  
   1.20 GeV   2.076E-01  3.349E-05    4.26 m    162.99 mm    66.99 mm  
   1.30 GeV   2.050E-01  3.107E-05    4.74 m    177.01 mm    73.27 mm  
   1.40 GeV   2.028E-01  2.899E-05    5.23 m    190.31 mm    79.45 mm  
   1.50 GeV   2.011E-01  2.718E-05    5.73 m    202.98 mm    85.53 mm  
   1.60 GeV   1.997E-01  2.558E-05    6.23 m    215.09 mm    91.50 mm  
   1.70 GeV   1.986E-01  2.417E-05    6.73 m    226.70 mm    97.36 mm  
   1.80 GeV   1.977E-01  2.291E-05    7.23 m    237.86 mm   103.12 mm  
   2.00 GeV   1.964E-01  2.076E-05    8.25 m    278.13 mm   114.32 mm  
   2.25 GeV   1.954E-01  1.859E-05    9.52 m    331.90 mm   127.75 mm  
   2.50 GeV   1.950E-01  1.684E-05   10.80 m    378.42 mm   140.60 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.0753E-02                keV / (ug/cm2) 
  1.0753E-02                MeV / (mg/cm2) 
  1.0753E+01                keV / (mg/cm2) 
  8.3478E-02                 eV / (1E15 atoms/cm2)
  3.5660E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
