 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 01, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_in_CD2_2.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  9.1800E-01 g/cm3 = 1.1041E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    033.33    007.18   
      C      6    016.67    042.82   
      H      1    033.33    007.18   
      C      6    016.67    042.82   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 110.00 MeV   6.228E-01  2.550E-04   99.12 mm     4.34 mm     2.10 mm  
 120.00 MeV   5.843E-01  2.353E-04  115.68 mm     4.95 mm     2.44 mm  
 130.00 MeV   5.514E-01  2.185E-04  133.28 mm     5.56 mm     2.80 mm  
 140.00 MeV   5.230E-01  2.041E-04  151.89 mm     6.17 mm     3.17 mm  
 150.00 MeV   4.982E-01  1.915E-04  171.46 mm     6.78 mm     3.56 mm  
 160.00 MeV   4.764E-01  1.804E-04  191.97 mm     7.40 mm     3.97 mm  
 170.00 MeV   4.570E-01  1.705E-04  213.38 mm     8.02 mm     4.39 mm  
 180.00 MeV   4.398E-01  1.618E-04  235.66 mm     8.64 mm     4.83 mm  
 200.00 MeV   4.102E-01  1.467E-04  282.72 mm    10.96 mm     5.75 mm  
 225.00 MeV   3.805E-01  1.316E-04  345.95 mm    14.20 mm     6.97 mm  
 250.00 MeV   3.566E-01  1.193E-04  413.77 mm    17.19 mm     8.26 mm  
 275.00 MeV   3.369E-01  1.092E-04  485.84 mm    20.05 mm     9.61 mm  
 300.00 MeV   3.205E-01  1.008E-04  561.86 mm    22.82 mm    11.02 mm  
 325.00 MeV   3.066E-01  9.354E-05  641.55 mm    25.51 mm    12.47 mm  
 350.00 MeV   2.947E-01  8.732E-05  724.65 mm    28.16 mm    13.97 mm  
 375.00 MeV   2.844E-01  8.189E-05  810.95 mm    30.77 mm    15.51 mm  
 400.00 MeV   2.754E-01  7.713E-05  900.22 mm    33.33 mm    17.08 mm  
 450.00 MeV   2.604E-01  6.913E-05    1.09 m     42.65 mm    20.32 mm  
 500.00 MeV   2.485E-01  6.267E-05    1.28 m     51.04 mm    23.65 mm  
 550.00 MeV   2.389E-01  5.735E-05    1.49 m     58.84 mm    27.05 mm  
 600.00 MeV   2.310E-01  5.289E-05    1.70 m     66.22 mm    30.51 mm  
 650.00 MeV   2.244E-01  4.909E-05    1.92 m     73.28 mm    34.01 mm  
 700.00 MeV   2.188E-01  4.581E-05    2.15 m     80.06 mm    37.53 mm  
 800.00 MeV   2.100E-01  4.045E-05    2.61 m    103.96 mm    44.63 mm  
 900.00 MeV   2.034E-01  3.624E-05    3.10 m    124.68 mm    51.73 mm  
   1.00 GeV   1.984E-01  3.284E-05    3.59 m    143.40 mm    58.79 mm  
   1.10 GeV   1.945E-01  3.004E-05    4.10 m    160.67 mm    65.79 mm  
   1.20 GeV   1.914E-01  2.770E-05    4.62 m    176.82 mm    72.71 mm  
   1.30 GeV   1.889E-01  2.570E-05    5.15 m    192.03 mm    79.52 mm  
   1.40 GeV   1.870E-01  2.398E-05    5.68 m    206.46 mm    86.23 mm  
   1.50 GeV   1.854E-01  2.248E-05    6.21 m    220.20 mm    92.82 mm  
   1.60 GeV   1.841E-01  2.116E-05    6.76 m    233.34 mm    99.30 mm  
   1.70 GeV   1.830E-01  2.000E-05    7.30 m    245.93 mm   105.67 mm  
   1.80 GeV   1.822E-01  1.895E-05    7.85 m    258.04 mm   111.91 mm  
   2.00 GeV   1.810E-01  1.717E-05    8.95 m    301.73 mm   124.07 mm  
   2.25 GeV   1.801E-01  1.538E-05   10.33 m    360.06 mm   138.65 mm  
   2.50 GeV   1.797E-01  1.393E-05   11.72 m    410.53 mm   152.59 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.0894E-02                keV / (ug/cm2) 
  1.0894E-02                MeV / (mg/cm2) 
  1.0894E+01                keV / (mg/cm2) 
  9.0573E-02                 eV / (1E15 atoms/cm2)
  4.0946E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
