 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 04, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\15C_in_CD2.txt

 Ion = Carbon [6] , Mass = 15.011 amu

 Target Density =  9.1300E-01 g/cm3 = 1.0284E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 140.00 MeV   1.536E+02  6.956E-02  524.44 um    20.40 um     3.19 um  
 150.00 MeV   1.450E+02  6.537E-02  591.43 um    22.51 um     3.56 um  
 160.00 MeV   1.374E+02  6.167E-02  662.27 um    24.65 um     3.96 um  
 170.00 MeV   1.305E+02  5.839E-02  736.95 um    26.84 um     4.37 um  
 180.00 MeV   1.243E+02  5.545E-02  815.45 um    29.06 um     4.81 um  
 200.00 MeV   1.135E+02  5.042E-02  983.81 um    37.61 um     5.75 um  
 225.00 MeV   1.025E+02  4.532E-02    1.22 mm    49.93 um     7.03 um  
 250.00 MeV   9.357E+01  4.120E-02    1.47 mm    61.66 um     8.45 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.0953E-02                keV / (ug/cm2) 
  1.0953E-02                MeV / (mg/cm2) 
  1.0953E+01                keV / (mg/cm2) 
  9.7235E-02                 eV / (1E15 atoms/cm2)
  2.2264E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
