#94Ru(d,p)95Ru(5/2+ 0.000) ELAB= 16.800
#94Ru(d,p)95Ru(5/2+ 1.648) ELAB= 16.800
#94Ru(d,p)95Ru(1/2+ 0.788) ELAB= 16.800
#94Ru(d,p)95Ru(1/2+ 2.246) ELAB= 16.800
#94Ru(d,p)95Ru(1/2+ 3.288) ELAB= 16.800
#94Ru(d,p)95Ru(7/2+ 0.942) ELAB= 16.800
#94Ru(d,p)95Ru(7/2+ 1.331) ELAB= 16.800
#94Ru(d,p)95Ru(11/2- 2.450) ELAB= 16.800
#94Ru(d,p)95Ru(3/2+ 1.141) ELAB= 16.800
#94Ru(d,p)95Ru(3/2+ 1.740) ELAB= 16.800
#94Ru(d,p)95Ru(3/2+ 2.220) ELAB= 16.800
#94Ru(d,p)95Ru(3/2+ 3.288) ELAB= 16.800
   Angel	  Ex=0.000(1d5/2)AK  Ex=1.648(1d5/2)AK  Ex=0.788(2s1/2)AK  Ex=2.246(2s1/2)AK  Ex=3.288(2s1/2)AK  Ex=0.942(0g7/2)AK  Ex=1.331(0g7/2)AK Ex=2.450(0h11/2)AK  Ex=1.141(1d3/2)AK  Ex=1.740(1d3/2)AK  Ex=2.220(1d3/2)AK  Ex=3.288(1d3/2)AK
  23.000	          12.669000          14.350000           2.060000           2.694100           3.128800           1.218800           1.273600           0.641660           9.209400           9.684900          10.099000          11.156000
  23.200	          12.493000          14.147000           2.191600           2.850000           3.291400           1.233200           1.288000           0.650740           9.080800           9.548800           9.957100          11.000000
  23.400	          12.311000          13.938000           2.322700           3.005100           3.453300           1.247900           1.302700           0.660030           8.947900           9.408500           9.810600          10.839000
  23.600	          12.122000          13.723000           2.453100           3.159000           3.614100           1.262800           1.317600           0.669530           8.811100           9.264200           9.660200          10.674000
  23.800	          11.929000          13.502000           2.582200           3.311400           3.773500           1.277900           1.332700           0.679250           8.670600           9.116200           9.506000          10.506000
  24.000	          11.730000          13.276000           2.709900           3.462000           3.931000           1.293200           1.348100           0.689190           8.526600           8.964800           9.348600          10.335000
  24.200	          11.527000          13.045000           2.835800           3.610300           4.086400           1.308700           1.363600           0.699350           8.379500           8.810200           9.188000          10.161000
  24.400	          11.319000          12.810000           2.959600           3.756200           4.239400           1.324400           1.379300           0.709730           8.229600           8.652900           9.024600           9.984400
  24.600	          11.108000          12.572000           3.081200           3.899200           4.389500           1.340200           1.395100           0.720320           8.077000           8.493000           8.858800           9.805400
  24.800	          10.893000          12.330000           3.200200           4.039200           4.536600           1.356100           1.411000           0.731140           7.922200           8.330800           8.690800           9.624400
  25.000	          10.675000          12.085000           3.316400           4.175900           4.680400           1.372100           1.427100           0.742170           7.765400           8.166700           8.520900           9.441700
  25.200	          10.455000          11.838000           3.429700           4.309100           4.820700           1.388200           1.443200           0.753430           7.606900           8.001000           8.349400           9.257700
  25.400	          10.233000          11.589000           3.539900           4.438500           4.957200           1.404300           1.459400           0.764900           7.446900           7.833900           8.176600           9.072600
  25.600	          10.009000          11.338000           3.646800           4.564100           5.089800           1.420500           1.475600           0.776580           7.285900           7.665800           8.002900           8.886700
  25.800	           9.783200          11.087000           3.750300           4.685500           5.218300           1.436700           1.491800           0.788480           7.124000           7.496900           7.828500           8.700400
  26.000	           9.556900          10.834000           3.850200           4.802800           5.342600           1.452800           1.508000           0.800600           6.961500           7.327600           7.653700           8.513900
