detID,e,z,Ex,rdtID,de,e,rdte,tde,te,trdte,coinTime,thetaCM,target
4,3.69399,-212.731,9.00993,7,2165.98,1149.8,2785.72,2170.27,1147.2,2787.29,-9.69359,27.174,0
13,1.23035,-267.668,10.5331,5,2286.13,nan,nan,2581.6,nan,nan,28.075,12.1317,0
12,3.28746,-316.842,7.642,3,1662.84,1369.12,2808.04,1040.08,1390.62,2395.29,-13.1929,22.2837,0
11,3.55745,-362.574,6.57892,3,897.024,3271.01,3817.88,559.941,3286.26,3810.79,-6.83436,21.7245,2
7,2.3842,-295.106,8.93245,3,940.776,2926.29,3550.36,586.303,2948.12,3499.01,-12.2421,18.9136,0
7,3.59414,-294.441,7.71348,3,1107.58,2637.37,3441.8,699.309,2683.79,3347.68,26.2141,24.2359,0
13,2.48579,-232.302,9.91521,3,866.628,3381.89,3889.42,542.278,3387.94,3894.8,1.28553,21.6447,0
14,1.62884,-208.945,11.1863,3,912.624,3134.49,3710.4,567.591,3163.65,3695.82,9.55881,17.6645,0
9,6.53849,-192.432,6.40891,5,2253.51,1390.27,3313.81,2557.1,1384.96,3344.59,24.4506,35.494,0
13,2.06356,-250.428,10.0299,5,1731.2,1963.61,3356.05,1963.62,1951.86,3320.06,21.242,18.8221,0
11,7.88558,-376.449,1.88351,3,1657.36,nan,nan,1038.98,nan,nan,-31.2877,32.915,0
12,6.32701,-304.828,4.71661,5,2325.13,nan,nan,2625.74,nan,nan,-6.80735,31.777,0
11,2.9736,-389.662,6.69716,3,949.788,3347.6,3932.86,589.772,3361.3,3915.65,-6.09889,18.1085,1
14,3.17482,-216.286,9.48411,3,1798.14,901.11,2512.3,1123.1,907.587,1995.27,12.4441,25.1432,0
29,1.30548,-183.142,11.9579,7,1842.88,2554.68,3784.29,1842.93,2550.15,3780.15,-2.22738,16.3021,2
20,7.03046,-437.224,1.73292,7,3008.16,nan,nan,3015.98,nan,nan,19.2948,29.3061,0
6,1.77821,-362.571,8.31731,3,706.992,nan,nan,442.05,nan,nan,-21.1401,11.8339,0
9,3.69493,-202.008,9.19223,3,1351.49,1704.32,2829.24,846.094,1724.14,2534.81,-2.0056,27.4989,3
20,4.02312,-416.896,5.16812,3,1330.73,2247.28,3293.42,834.553,2284.71,3083.85,17.7794,21.487,0
7,1.22298,-296.086,10.0149,1,1910.49,nan,nan,1911.21,nan,nan,-3.86751,10.4471,0
12,4.3571,-307.671,6.7029,3,877.224,3256.68,3787.54,550.481,3279.06,3794.13,-3.0505,26.4137,2
1,2.80415,-356.107,7.45126,1,1344.82,2128.48,2922.57,1339.12,2121.71,2926.3,-14.8807,18.6609,3
3,2.2714,-234.299,10.0989,3,2132.29,nan,nan,1331.53,nan,nan,-32.0656,20.5104,0
12,6.45625,-304.716,4.58468,3,1017.72,3153.3,3820.54,634.509,3190.44,3789.53,24.7652,32.0731,0
9,3.47634,-201.051,9.43421,1,1178.42,3146.53,3679.58,1179.49,3129.01,3679.78,36.1777,26.749,0
11,4.00184,-381.631,5.79801,3,918.456,3432.6,3980.57,571.537,3450.06,3986.18,-4.72155,22.7101,1
9,1.61131,-176.465,11.7675,3,1041.52,2927.29,3640.79,651.469,2959.3,3575.35,10.1206,18.6514,0
14,8.60369,-182.245,4.43594,3,1236.29,2024.39,3011.34,769.856,2055.8,2790.24,8.87848,39.6913,3
23,5.76666,-231.949,6.5377,5,2803.31,nan,nan,3175.07,nan,nan,22.6381,32.6014,0
6,2.84994,-360.351,7.33159,5,2609.43,nan,nan,2946.45,nan,nan,-4.4427,18.7141,0
6,1.95954,-395.982,7.5407,3,925.824,2562.49,3213.69,582.347,2570.03,3116.96,-0.0126193,11.3332,0
12,5.13741,-303.653,5.96694,3,1859.5,nan,nan,1159.23,nan,nan,-18.41,28.8381,0
13,7.34912,-272.208,4.21192,7,2603.78,nan,nan,2601.27,nan,nan,-31.5447,34.8983,0
12,2.40742,-320.06,8.47518,3,836.904,3373.66,3855.69,523.153,3376.72,3864.46,-4.34764,18.065,0
28,1.92357,-234.1,10.4539,7,2410.46,nan,nan,2409.44,nan,nan,22.8602,18.6009,0
7,3.17243,-339.361,7.37054,7,2476.89,nan,nan,2470.29,nan,nan,-8.44167,20.9939,0
4,6.06967,-209.135,6.61158,1,1090.56,3503.84,3919.1,1096.18,3486.86,3923.82,16.4737,33.9749,1
3,4.58271,-275.942,7.01272,1,1096.6,3485.64,3908.29,1091.57,3471.67,3906.21,1.08061,28.1068,1
13,6.42745,-234.771,5.80447,3,936.636,3367.77,3939.1,587.709,3391.55,3943.84,0.113855,34.0481,1
3,3.22881,-244.804,8.9398,1,1372.01,2040.97,2868.94,1370.76,2031.37,2874.11,16.2652,24.4597,3
6,1.84946,-394.713,7.65126,3,876.804,2704.25,3296.12,544.294,2712.61,3221.49,-24.3828,10.374,0
14,2.40794,-193.717,10.6587,3,1077.06,1913.55,2771.28,677.1,1928.89,2570.57,17.5064,22.5117,0
14,2.53509,-188.315,10.6212,5,1589.98,2561.66,3734.11,1792.63,2544.35,3709.14,-5.83578,23.2794,2
1,4.80157,-355.017,5.43529,1,1068.78,3556.2,3946.28,1068.9,3541.23,3947.89,5.75269,26.2428,1
21,3.99138,-399.633,5.49839,5,1510.8,2721.34,3800.74,1707.52,2715.45,3788.51,5.85784,22.0153,0
4,1.65413,-209.036,11.1594,3,863.976,3085.88,3623.95,536.878,3128.9,3630.36,-16.9319,17.826,0
14,7.09526,-217.132,5.41117,3,937.824,3372.75,3944.58,587.803,3401.49,3953.87,-7.33685,35.9568,1
14,7.13266,-205.195,5.57509,5,2878,nan,nan,3253.56,nan,nan,-6.31886,36.3677,0
3,6.77976,-247.965,5.21468,1,1155.66,3470.53,3947.35,1148.64,3452.23,3939.66,6.2628,34.4301,1
12,5.90702,-295.846,5.30435,3,753.108,3568.79,3954.65,464.738,3547.49,3976.81,-4.51053,31.0574,0
9,1.89666,-215.044,10.8112,3,941.64,3052.21,3663.05,589.294,3089.89,3643.76,-8.39429,19.1096,0
11,4.56963,-356.421,5.64964,3,862.668,3445.97,3942.86,538.397,3435.1,3938.08,1.00842,25.4867,1
9,6.6595,-195.654,6.22852,3,918.648,3346.28,3904.01,581.034,3374.75,3920.37,28.7365,35.662,0
12,2.1855,-324.049,8.6251,3,889.38,2846.04,3433.34,558.047,2853.59,3376.22,-4.48991,16.6398,0
22,5.51554,-295.505,5.71516,7,1612.29,2864.21,3857.15,1618.61,2861.64,3860.62,13.8247,30.0913,1
4,5.1432,-207.491,7.60021,1,1123.48,3461.24,3910.5,1111.44,3446.13,3901.18,-22.5723,31.7287,0
14,8.776,-190.402,4.11845,3,936.024,3335.77,3910.11,585.234,3364.84,3914.65,33.7501,39.7533,0
29,7.5955,-210.2,5.00937,1,2162.61,nan,nan,2162.96,nan,nan,-9.15092,37.1266,0
24,0.902896,-216.076,11.7566,1,1161.27,3165.37,3681.09,1163.12,3152.64,3686.23,13.2746,11.3418,0
6,3.26625,-358.379,6.94675,1,1863.27,nan,nan,1863.67,nan,nan,-15.1505,20.6858,0
28,5.9064,-261.855,5.88383,7,1647.59,2912.43,3934.25,1644.06,2908.76,3927.6,4.20534,32.0645,0
27,5.28975,-332.183,5.32264,1,1898.2,1250.77,2634.28,1904.89,1243.44,2648.52,24.1022,28.3644,0
9,1.36115,-203.945,11.5395,3,929.976,3093.62,3689.49,584.859,3129.83,3679.27,-10.4189,15.9711,0
6,6.39185,-399.256,3.04016,3,1927.85,1490.82,3151.78,1204.58,1509.42,2678.59,9.81188,29.041,0
28,3.69277,-236.386,8.60668,1,2227.71,899.59,2615.01,2228.77,895.125,2626.8,21.5779,26.4479,0
13,4.41685,-253.851,7.5612,3,1609.38,1319.14,2716.09,1003.2,1339.04,2306.82,-2.85316,28.2839,0
3,2.08936,-235.157,10.2685,1,1534.8,nan,nan,1537.54,nan,nan,17.1329,19.5091,0
24,4.78533,-172.745,8.56292,5,2029.66,nan,nan,2297.78,nan,nan,-8.11187,31.7511,0
14,1.93717,-181.342,11.3526,3,874.452,3241.09,3771.22,545.081,3258.15,3767.81,8.72123,20.452,0
26,7.28131,-374.419,2.54384,7,1847.96,2736.89,3957.17,1849.38,2733.31,3955.17,26.2839,31.7702,0
4,4.96777,-212.911,7.68963,1,1048.89,3532.94,3907.92,1050.3,3514.23,3907.36,-10.7806,31.0975,1
3,2.42696,-278.836,9.17147,1,1093.68,3356.66,3791.04,1095.56,3350.31,3801.89,39.6142,19.7396,0
14,1.23104,-176.605,12.1458,3,869.292,3221.32,3749.06,541.078,3249.1,3754.76,4.33573,15.9586,0
3,3.13354,-273.075,8.55212,1,1315.5,2050.59,2827.27,1318.61,2043.18,2838.26,12.6567,23.155,3
11,2.63057,-358.247,7.58682,3,633.348,3699.13,3964.05,392.738,3657.04,4014.36,-14.8135,17.6892,0
3,6.52837,-240.886,5.5958,1,1136.97,3496.11,3953.48,1134.92,3485.6,3957.13,0.165357,34.0939,1
7,2.82651,-328.278,7.91207,3,887.208,3343.68,3873.75,558.863,3354.69,3878.13,-12.4959,19.8556,0
24,4.52073,-201.278,8.3508,7,1871.38,2567.09,3822.05,1875.46,2567.3,3826.01,12.2818,30.1652,2
22,5.65146,-300.423,5.49075,5,2147.75,709.71,2663.07,2423.87,707.628,2596.38,-5.67469,30.2883,0
14,2.20272,-182.012,11.0701,5,2956.85,nan,nan,3348.25,nan,nan,-9.15089,21.8564,0
6,5.11762,-390.771,4.49815,3,1078.75,2188.06,3016.8,676.219,2221.88,2862.68,19.4782,25.9887,0
11,4.01001,-363.387,6.10357,5,2864.72,nan,nan,3239.96,nan,nan,1.69458,23.3872,0
6,4.73879,-367.209,5.29104,3,915.684,3435.4,3980.59,571.181,3448.29,3984.05,-2.85567,25.6497,1
11,3.28891,-385.238,6.45855,3,1299.5,835.66,2010.89,810.562,843.175,1618.32,-14.1496,19.7477,0
14,2.1806,-219.691,10.4433,3,970.404,3011.18,3652.15,607.312,3049.69,3621.58,19.4762,20.529,0
4,7.09023,-201.53,5.68141,1,1135.33,3475.61,3933.8,1133.87,3461.88,3935.11,26.841,36.3856,0
27,2.62948,-303.987,8.53159,5,1552.73,2452.11,3612.63,1753.31,2444.6,3580.77,24.1952,19.8235,0
11,2.03976,-398.191,7.43215,3,891.324,nan,nan,563.916,nan,nan,-3.68911,11.8859,0
7,2.34996,-305.593,8.78446,3,924.12,3107.93,3697.01,577.369,3114.72,3656.68,-6.60287,18.3268,0
24,0.938047,-216.523,11.7178,7,1996.24,2240.06,3635.43,1999.3,2237,3635.43,16.5952,11.7056,0
14,1.27806,-178.891,12.0593,3,683.076,1722.94,2251.65,429.787,1621.89,2016.26,31.8213,16.2425,0
29,2.86027,-217.176,9.79209,3,987.408,3006.92,3663.48,618.047,3044.45,3627.08,23.0637,23.8265,0
13,2.68681,-246.545,9.46489,3,910.164,3261.07,3820.73,569.719,3286.05,3820.35,11.4482,22.1117,2
24,3.59515,-219.758,8.99174,7,1949.6,2236.75,3589.32,1948.73,2232.92,3584.99,31.4356,26.6121,0
7,1.94998,-307.172,9.15206,3,927.192,3211.4,3791.71,579.741,3230.15,3774.47,-25.4912,15.898,0
27,3.94577,-307.992,7.12029,1,1848.41,1650.74,2945.54,1847.44,1644.01,2953.51,-5.3895,25.0441,0
13,2.47698,-261.459,9.42131,1,1278.99,1882.76,2645.63,1276.46,1874.67,2651.01,9.53628,20.6097,0
6,2.27045,-371.474,7.7054,3,847.332,3342.06,3836.87,530.109,3348.43,3843.12,-6.39928,15.0121,0
9,2.49823,-205.768,10.3591,3,899.7,3297.63,3843.92,559.256,3329.14,3852.98,-30.0232,22.5631,0
11,4.49565,-358.319,5.69309,3,1735.3,912.4,2466.47,1084.75,927.237,1976.57,-23.9813,25.1898,0
14,4.45693,-198.219,8.46901,3,918.552,3332.44,3891.62,576.75,3322.36,3863.7,27.6082,30.0649,0
9,4.55556,-187.956,8.54184,3,1152.31,1977.87,2895.35,721.031,2010.38,2695.99,3.07904,30.655,3
13,6.41774,-258.271,5.41489,3,896.832,3420.48,3950.57,564.6,3443.91,3973.1,-5.03356,33.3486,1
20,2.63362,-453.541,5.88714,1,1558.86,1117.04,2213.77,1551.56,1107.85,2213.93,-4.56447,13.032,0
3,2.81017,-251.881,9.2471,1,1053.52,3348.09,3747.73,1040.74,3339.4,3743.45,18.6493,22.4874,0
14,2.82273,-213.304,9.89705,5,1534.85,2576.26,3700.57,1737.87,2561.48,3674.41,-7.16988,23.7871,0
13,3.59369,-262.38,8.26366,3,873.648,3370.04,3885.13,543.459,3376.23,3884.27,25.3186,25.2776,0
22,1.76543,-339.979,8.74223,3,1696.45,nan,nan,1064.1,nan,nan,4.98282,13.0091,0
14,5.24114,-212.071,7.42073,7,3016.58,nan,nan,3010.59,nan,nan,-20.4318,31.8544,0
28,8.29928,-251.838,3.57149,7,1883.79,2626.72,3888.55,1884.11,2625.99,3888.17,35.6845,37.244,0
4,6.24067,-213.667,6.3571,5,1935.46,nan,nan,2187.53,nan,nan,8.49765,34.2355,0
14,3.99117,-193.211,9.03635,5,2123.34,nan,nan,2400.25,nan,nan,34.2062,28.7572,0
9,8.14014,-174.124,5.05563,1,1098.98,1848.44,2455.11,1110.94,1838.06,2471.33,29.097,39.1194,0
28,5.82552,-270.644,5.81797,7,1852.9,2546.2,3785.71,1853.69,2543.78,3784.2,11.4392,31.6102,2
3,4.65236,-248.769,7.40465,1,1514.43,2404.32,3318.52,1516.46,2390.51,3322.86,9.25446,29.142,0
9,2.38609,-177.163,10.9656,3,915.564,3321.04,3878.83,571.828,3347.7,3884.11,20.0746,22.9166,0
27,1.78806,-317.277,9.12879,1,1911.14,1394.97,2773.95,1919.98,1391.2,2793.27,10.7278,14.3264,0
3,6.22185,-257.573,5.62984,1,1129.18,3495.26,3945.8,1126.26,3482.01,3946.24,-4.73385,32.9274,1
9,6.15948,-210.541,6.49449,1,2306.28,nan,nan,2307.98,nan,nan,-3.29388,34.1407,0
7,2.64158,-303.272,8.53177,3,919.968,3130.08,3713.01,571.378,3162.43,3698.39,19.3745,19.9089,0
28,6.51502,-261.209,5.26406,7,1770.61,2766.5,3913.1,1775.34,2763.46,3914.67,29.1996,33.4784,0
28,3.06968,-267.85,8.70724,3,1813.4,nan,nan,1138.74,nan,nan,11.7249,23.0661,0
29,5.80743,-208.538,6.89378,7,1768.96,2728.75,3876.73,1772.91,2725.8,3877.65,37.8274,33.3751,0
3,1.70354,-254.314,10.321,3,1663.25,nan,nan,1040.36,nan,nan,3.03529,16.464,0
12,1.76879,-291.576,9.60273,3,890.688,2769.32,3366.3,555.375,2783.41,3303.37,-19.9583,15.3612,0
3,3.6069,-277.162,7.99675,1,792.09,2597.43,2848.09,789.938,2582.94,2848.11,29.7375,24.8498,0
3,6.48604,-275.024,5.05909,1,1154.77,3364.86,3852.64,1149.38,3352.04,3851.26,-0.293914,33.0127,2
11,3.08437,-360.269,7.09767,3,1218.34,752,1864.38,762.581,748.225,1475.39,-7.51999,19.8162,0
4,1.80913,-172.026,11.6437,5,2047.24,nan,nan,2310.75,nan,nan,21.4078,20.0088,0
6,4.82645,-357.553,5.36628,3,961.476,3406.6,3995.7,603.75,3431.88,4000.21,-4.6709,26.2339,0
20,6.65078,-425.296,2.32845,7,3551.16,nan,nan,3554.78,nan,nan,7.19246,28.824,0
11,4.46175,-386.544,5.24355,3,887.148,3449.01,3967.33,555.778,3467.71,3988.07,-5.6842,24.1161,1
1,3.84642,-387.088,5.86222,1,1093.83,3547.89,3961.16,1094.62,3531.8,3962.38,-14.8275,21.9384,1
7,3.60178,-306.198,7.50385,3,1156.9,1971.78,2894.01,721.65,1996.34,2682.57,-17.7236,23.8714,3
4,1.76002,-198.671,11.2327,1,1148.48,3088.53,3601.41,1146.92,3077.07,3604.66,-17.8095,18.8483,0
13,1.77675,-235.848,10.5705,3,907.404,3241.78,3801.13,569.269,3269.44,3803.29,-3.16239,17.6433,2
