                                              file,     #event, size[MB], duration[s],       [min],      [hour]
                    ../root_data/trace_run156.root,     121668,   913.30,    3393.155,      56.553,       0.943
                    ../root_data/trace_run157.root,     168293,  1263.52,    3522.866,      58.714,       0.979
                    ../root_data/trace_run158.root,     155384,  1153.16,    3593.503,      59.892,       0.998
                    ../root_data/trace_run159.root,     161401,  1263.47,    3593.738,      59.896,       0.998
                    ../root_data/trace_run160.root,     339268,  1289.92,    3367.118,      56.119,       0.935
                    ../root_data/trace_run161.root,     100187,   767.60,    3436.658,      57.278,       0.955
                    ../root_data/trace_run162.root,       4537,    16.99,    1200.776,      20.013,       0.334
                    ../root_data/trace_run163.root,      11803,    48.83,    3402.257,      56.704,       0.945
                    ../root_data/trace_run164.root,      55886,   573.22,    3591.748,      59.862,       0.998
                    ../root_data/trace_run165.root,     153199,  1084.25,    3533.009,      58.883,       0.981
                    ../root_data/trace_run166.root,     140935,  1017.58,    3591.561,      59.859,       0.998
