z,0,1,2,3,4,5,6,7,8,9,10,11
-389.000000,7.528967,6.803218,5.891321,5.289302,4.830540,4.494374,4.103307,3.385213,3.265947,2.350444,2.176993,1.170147
-388.000000,7.546137,6.820414,5.908606,5.306660,4.847988,4.511872,4.120925,3.403164,3.284010,2.370261,2.197756,1.196273
-387.000000,7.563308,6.837609,5.925890,5.324019,4.865435,4.529370,4.138543,3.421114,3.302072,2.389957,2.218322,1.222400
-386.000000,7.580478,6.854804,5.943175,5.341377,4.882883,4.546867,4.156161,3.439065,3.320134,2.409409,2.238556,1.248526
-385.000000,7.597624,6.871999,5.960459,5.358735,4.900319,4.564365,4.173778,3.457016,3.338127,2.428860,2.258789,1.274653
-384.000000,7.614770,6.889193,5.977744,5.376094,4.917719,4.581863,4.191396,3.474944,3.356075,2.448311,2.278863,1.300779
-383.000000,7.631917,6.906388,5.995028,5.393452,4.935118,4.599361,4.208968,3.492793,3.374022,2.467506,2.298661,1.326906
-382.000000,7.649063,6.923583,6.012306,5.410788,4.952517,4.616859,4.226520,3.510642,3.391970,2.486650,2.318459,1.353032
-381.000000,7.666210,6.940778,6.029557,5.428107,4.969916,4.634308,4.244073,3.528491,3.409918,2.505794,2.338211,1.379159
-380.000000,7.683356,6.957973,6.046808,5.445425,4.987316,4.651752,4.261625,3.546340,3.427865,2.524913,2.357647,1.405285
-379.000000,7.700502,6.975168,6.064059,5.462743,5.004715,4.669197,4.279178,3.564189,3.445729,2.543797,2.377083,1.431411
-378.000000,7.717649,6.992363,6.081311,5.480062,5.022114,4.686642,4.296730,3.582028,3.463575,2.562681,2.396519,1.457538
-377.000000,7.734795,7.009558,6.098562,5.497380,5.039513,4.704087,4.314283,3.599786,3.481421,2.581565,2.415758,1.483664
-376.000000,7.751942,7.026744,6.115813,5.514698,5.056904,4.721531,4.331832,3.617545,3.499267,2.600425,2.434889,1.509791
-375.000000,7.769088,7.043914,6.133064,5.532017,5.074259,4.738976,4.349325,3.635304,3.517113,2.619086,2.454020,1.535917
-374.000000,7.786234,7.061083,6.150315,5.549335,5.091615,4.756421,4.366819,3.653063,3.534959,2.637748,2.473152,1.562044
-373.000000,7.803381,7.078252,6.167566,5.566653,5.108970,4.773846,4.384313,3.670821,3.552739,2.656410,2.492044,1.588170
-372.000000,7.820527,7.095421,6.184817,5.583954,5.126326,4.791243,4.401807,3.688580,3.570496,2.675071,2.510916,1.614297
-371.000000,7.837655,7.112590,6.202069,5.601236,5.143681,4.808639,4.419301,3.706285,3.588252,2.693567,2.529789,1.640423
-370.000000,7.854780,7.129759,6.219291,5.618518,5.161037,4.826036,4.436794,3.723964,3.606008,2.712037,2.548662,1.666549
-369.000000,7.871904,7.146929,6.236511,5.635800,5.178392,4.843433,4.454288,3.741642,3.623765,2.730507,2.567325,1.692676
-368.000000,7.889029,7.164098,6.253732,5.653082,5.195748,4.860829,4.471781,3.759321,3.641521,2.748977,2.585976,1.718802
-367.000000,7.906154,7.181267,6.270953,5.670364,5.213103,4.878226,4.489222,3.776999,3.659252,2.767388,2.604628,1.743923
-366.000000,7.923278,7.198436,6.288173,5.687646,5.230430,4.895622,4.506663,3.794678,3.676928,2.785692,2.623280,1.768271
-365.000000,7.940403,7.215605,6.305394,5.704928,5.247746,4.913019,4.524104,3.812356,3.694605,2.803996,2.641794,1.791668
-364.000000,7.957527,7.232774,6.322615,5.722210,5.265062,4.930396,4.541545,3.829971,3.712281,2.822300,2.660256,1.814704
-363.000000,7.974652,7.249943,6.339835,5.739492,5.282377,4.947749,4.558986,3.847578,3.729957,2.840604,2.678717,1.837079
-362.000000,7.991777,7.267088,6.357056,5.756774,5.299693,4.965103,4.576427,3.865185,3.747634,2.858825,2.697179,1.859114
-361.000000,8.008901,7.284234,6.374277,5.774026,5.317009,4.982456,4.593868,3.882792,3.765310,2.876984,2.715602,1.880857
-360.000000,8.026026,7.301379,6.391498,5.791275,5.334325,4.999809,4.611309,3.900399,3.782947,2.895144,2.733899,1.902110
-359.000000,8.043150,7.318525,6.408714,5.808524,5.351641,5.017162,4.628722,3.918006,3.800552,2.913304,2.752196,1.923362
-358.000000,8.060275,7.335670,6.425907,5.825772,5.368956,5.034515,4.646116,3.935613,3.818157,2.931463,2.770492,1.944074
-357.000000,8.077400,7.352816,6.443100,5.843021,5.386272,5.051868,4.663509,3.953172,3.835762,2.949557,2.788789,1.964702
-356.000000,8.094505,7.369962,6.460293,5.860270,5.403561,5.069222,4.680902,3.970715,3.853367,2.967590,2.807018,1.985262
-355.000000,8.111609,7.387107,6.477486,5.877519,5.420840,5.086573,4.698296,3.988258,3.870972,2.985623,2.825171,2.005382
-354.000000,8.128714,7.404253,6.494679,5.894768,5.438120,5.103887,4.715689,4.005800,3.888577,3.003656,2.843324,2.025503
-353.000000,8.145819,7.421398,6.511871,5.912017,5.455400,5.121201,4.733083,4.023343,3.906155,3.021689,2.861477,2.045550
-352.000000,8.162923,7.438544,6.529064,5.929266,5.472680,5.138515,4.750476,4.040886,3.923696,3.039704,2.879630,2.065252
-351.000000,8.180028,7.455690,6.546257,5.946515,5.489960,5.155828,4.767869,4.058429,3.941237,3.057625,2.897729,2.084954
-350.000000,8.197132,7.472835,6.563450,5.963739,5.507239,5.173142,4.785232,4.075958,3.958778,3.075547,2.915757,2.104657
-349.000000,8.214237,7.489979,6.580643,5.980958,5.524519,5.190456,4.802583,4.093443,3.976319,3.093468,2.933784,2.124015
-348.000000,8.231341,7.507103,6.597836,5.998177,5.541799,5.207770,4.819933,4.110929,3.993860,3.111390,2.951811,2.143369
