z,e
-352.998,4.67863
-369.33,2.35856
-372.267,3.96182
-360.07,2.85631
-396.879,3.4722
-393.548,7.28039
-366.628,2.26211
-385.679,4.38384
-358.665,2.61624
-359.233,4.4689
-377.502,4.13328
-378.437,1.9894
-394.487,3.00279
-386.784,3.05431
-368.209,4.20801
-392.458,4.35026
-353.444,2.53867
-379.966,1.8872
-371.586,1.88665
-380.042,2.11351
-378.025,1.85275
-379.133,2.42737
-364.801,4.24654
-362.967,2.67031
-393.641,2.18254
-390.744,3.97342
-356.966,4.85744
-377.363,4.57125
-382.922,3.38553
-379.036,2.46821
-356.354,7.1546
-354.531,2.71465
-367.743,2.63016
-368.792,5.90181
-373.294,4.48927
-373.723,5.53436
-394.181,3.84943
-370.053,4.30107
-360.369,2.65551
-365.154,3.52007
-389.714,3.18813
-364.438,4.39451
-366.432,6.05699
-366.978,4.79422
-390.962,2.12088
-380.794,3.43819
-377.696,2.44594
-380.465,4.1979
-355.952,4.98967
-379.605,3.44854
-372.286,2.59155
-386.469,3.79705
-397.044,4.24983
-373.798,4.11679
-387.854,2.22829
-389.269,3.29901
-367.021,2.25096
-388.127,2.11035
-390.261,4.3496
-379.409,4.89388
-356.794,2.07706
-358.803,2.92893
-390.684,6.25165
-381.236,2.52907
-375.781,1.90732
-369.201,3.9364
-369.614,4.70251
-365.205,3.65361
-379.488,4.53728
-360.349,2.15743
-353.277,1.83824
-381.689,4.51613
-377.407,6.89383
-352.334,2.99219
-381.818,2.33007
-379.98,4.53436
-359.719,4.81781
-377.542,2.99723
-393.737,2.11421
-357.899,4.49867
-353.248,4.51176
-377.511,2.96577
-369.363,4.79856
-382.069,4.16774
-390.203,3.79168
-378.246,2.84469
-375.477,2.55635
-393.195,4.32221
-373.176,4.34709
-360.776,4.93745
-370.249,3.12068
-363.36,4.74784
-388.616,2.16171
-391.171,4.42396
-379.85,1.9972
-389.148,2.33115
-397.576,3.97535
-360.488,3.73529
-388.37,2.06248
-367.942,2.65436
-380.266,5.35044
-388.597,2.23127
-390.651,2.08281
-361.414,4.31345
-378.422,5.11005
-368.404,2.4989
-392.408,6.13779
-384.014,1.83084
-389.364,6.63436
-382.28,3.21029
-355.343,4.68161
-390.131,4.40016
-366.32,2.52495
-391.025,2.0571
-356.202,4.90694
-352.143,2.92758
-371.725,2.58258
-379.752,4.64922
-379.757,6.70162
-390.754,4.36074
-371.067,6.58474
-379.763,2.48669
-355.96,3.75054
-359.453,4.54251
-351.059,5.07391
-378.229,1.80851
-383.948,1.88832
-393.116,3.24581
-379.484,6.76267
-374.194,4.61127
-379.596,5.65836
-379.66,4.54946
-388.472,3.06253
-376.682,7.5941
-364.367,7.79278
-360.322,2.19925
-364.522,5.0852
-371.229,6.56796
-365.316,4.45941
-380.954,3.7048
-357.379,2.30806
-368.827,2.5572
-391.841,6.7181
-398.782,1.98308
-380.57,1.75728
-351.353,6.52727
-370.177,2.26464
-373.744,3.36247
-375.002,4.63625
-375.671,5.58008
-369.294,2.16408
-355.771,3.82323
-398.683,4.57519
-372.872,2.38824
-376.737,2.2599
-361.034,2.60761
-366.092,2.42379
-371.92,4.73837
-392.254,2.2226
-391.876,4.29735
-355.46,5.01016
-392.704,3.09157
-385.789,4.37999
-375.425,2.43209
-389.688,4.39901
-389.037,4.42532
-391.665,2.21759
-380.912,4.58594
-358.65,6.44893
-353.029,3.87659
-379.773,2.48766
-380.195,7.53209
-363.168,2.5374
-378.877,1.94793
-375.941,3.37148
-385.684,4.35031
-391.882,3.94437
-391.376,2.19832
-354.152,8.34178
-376.928,5.91234
-359.109,2.62162
-397.82,4.16949
-376.163,2.43831
-361.731,7.25387
-392.05,2.45971
-353.392,5.05903
-397.204,4.24037
-369.54,4.3239
-379.402,3.55252
-378.115,3.50773
-397.141,3.33101
-394.08,4.65774
-357.068,1.88206
-363.564,2.4819
-375.473,6.80268
-380.695,1.82277
-360.303,3.68386
-378.861,2.77375
-368.597,2.89164
-395.612,1.92367
-394.824,3.42979
-371.42,4.66581
-366.416,2.42995
-386.017,4.38957
-358.014,2.75823
-379.9,4.18794
-370.738,4.06105
-381.889,2.46041
-395.135,2.18182
-369.87,4.72081
-354.556,2.65349
-360.404,4.64479
-359.077,2.7073
-375.989,1.81905
-368.612,2.11269
-389.105,3.25941
-399.214,3.00738
-387.692,7.33589
-398.701,3.85187
-360.778,4.85949
-359.802,7.26268
-350.582,3.41021
-379.609,2.48186
-351.098,2.82373
-389.852,3.94015
-377.928,3.45706
-393.262,7.30965
-371.13,4.701
-372.121,4.65977
-371.958,2.35128
-363.973,4.75599
-392.902,4.38756
-352.862,2.56811
-373.586,2.11318
-396.446,3.73428
-380.618,4.13743
-379.926,1.83367
-356.614,2.96363
-381.087,3.77611
-389.986,4.31136
-360.83,2.78859
-378.381,4.0626
-356.171,2.70158
-364.123,4.75841
-392.408,4.30892
-388.003,3.40027
-352.616,4.48857
-366.115,4.11469
-378.122,4.53563
-370.893,4.73536
-387.749,2.28024
-361.623,5.16586
-372.194,1.9224
-389.426,5.22661
-382.071,2.28972
-365.063,2.56511
-368.143,6.75597
-368.184,2.94096
-387.514,4.45527
-387.182,2.30862
-378.014,2.54665
-380.191,3.85653
-396.107,3.89212
-358.891,4.86267
-361.177,2.50352
-397.354,2.04725
-357.292,3.41849
-381.704,2.49743
-391.882,3.19267
-387.891,3.47926
-365.114,2.81316
-353.112,7.93209
-389.612,3.93633
-394.531,5.06767
-388.346,2.10508
-367.39,3.85686
-381.124,5.62536
-381.483,4.07532
-353.895,8.16714
-396.555,6.58305
-395.97,2.58026
-360.901,4.48066
