#16N(d,3He)15C(5/2+ 0.74) ELAB= 24.000
#16N(d,3He)15C(1/2+ 0.00) ELAB= 24.000
   Angel	   Ex=0.74(0p1/2)Kx   Ex=0.00(0p1/2)Kx
 172.000	           0.005840           0.005118
 172.500	           0.005933           0.005209
 173.000	           0.006023           0.005295
 173.500	           0.006108           0.005378
 174.000	           0.006188           0.005456
 174.500	           0.006263           0.005528
 175.000	           0.006333           0.005596
 175.500	           0.006397           0.005658
 176.000	           0.006455           0.005714
 176.500	           0.006506           0.005764
 177.000	           0.006551           0.005808
 177.500	           0.006590           0.005845
 178.000	           0.006621           0.005876
 178.500	           0.006646           0.005900
 179.000	           0.006664           0.005917
 179.500	           0.006675           0.005927
 180.000	           0.006678           0.005931
