#208Pb(d,p)209Pb(9/2+ 0.000) ELAB= 15.000
#208Pb(d,p)209Pb(11/2+ 0.000) ELAB= 15.000
#208Pb(d,p)209Pb(15/2- 0.000) ELAB= 15.000
#208Pb(d,p)209Pb(5/2+ 0.000) ELAB= 15.000
#208Pb(d,p)209Pb(1/2+ 0.000) ELAB= 15.000
#208Pb(d,p)209Pb(7/2+ 0.000) ELAB= 15.000
#208Pb(d,p)209Pb(3/2+ 0.000) ELAB= 15.000
   Angel	  Ex=0.000(1g9/2)AK Ex=0.000(0i11/2)AK Ex=0.000(0j15/2)AK  Ex=0.000(2d5/2)AK  Ex=0.000(3s1/2)AK  Ex=0.000(1g7/2)AK  Ex=0.000(2d3/2)AK
  91.000	           1.257500           0.219770           0.148290           2.434500           1.839400           1.029300           1.523600
  92.000	           1.212400           0.220150           0.148210           2.414500           1.736400           0.987740           1.518400
  93.000	           1.170500           0.220150           0.148440           2.395800           1.628300           0.948060           1.516300
  94.000	           1.132100           0.219710           0.148940           2.376600           1.517500           0.910710           1.515600
  95.000	           1.097500           0.218780           0.149670           2.355200           1.406700           0.876100           1.514900
  96.000	           1.066800           0.217350           0.150580           2.330500           1.298100           0.844540           1.512800
  97.000	           1.040100           0.215410           0.151630           2.301400           1.193800           0.816270           1.508200
  98.000	           1.017200           0.212950           0.152750           2.267100           1.095600           0.791390           1.500200
  99.000	           0.997870           0.210000           0.153910           2.227300           1.004900           0.769960           1.488000
 100.000	           0.981920           0.206580           0.155040           2.181700           0.922950           0.751890           1.471100
 101.000	           0.968950           0.202730           0.156110           2.130500           0.850510           0.737030           1.449200
 102.000	           0.958550           0.198520           0.157060           2.074100           0.788030           0.725140           1.422400
 103.000	           0.950250           0.193990           0.157850           2.013000           0.735670           0.715930           1.390700
 104.000	           0.943550           0.189210           0.158460           1.948000           0.693260           0.709040           1.354400
 105.000	           0.937950           0.184260           0.158850           1.879800           0.660400           0.704060           1.314100
 106.000	           0.932960           0.179210           0.159010           1.809500           0.636430           0.700580           1.270300
 107.000	           0.928110           0.174120           0.158910           1.738000           0.620550           0.698150           1.223700
 108.000	           0.922940           0.169060           0.158560           1.666300           0.611770           0.696350           1.175100
 109.000	           0.917080           0.164110           0.157950           1.595400           0.609050           0.694760           1.125200
 110.000	           0.910180           0.159310           0.157080           1.526100           0.611260           0.692980           1.074800
 111.000	           0.901980           0.154730           0.155980           1.459300           0.617270           0.690680           1.024600
 112.000	           0.892250           0.150390           0.154650           1.395700           0.625970           0.687550           0.975420
 113.000	           0.880870           0.146350           0.153120           1.335700           0.636290           0.683320           0.927840
 114.000	           0.867750           0.142630           0.151410           1.280000           0.647240           0.677820           0.882430
 115.000	           0.852900           0.139240           0.149550           1.228700           0.657930           0.670890           0.839670
 116.000	           0.836360           0.136200           0.147570           1.182200           0.667580           0.662470           0.799940
 117.000	           0.818250           0.133500           0.145500           1.140300           0.675520           0.652520           0.763500
 118.000	           0.798730           0.131140           0.143350           1.103100           0.681220           0.641070           0.730560
 119.000	           0.777980           0.129100           0.141180           1.070400           0.684290           0.628210           0.701180
 120.000	           0.756230           0.127370           0.138990           1.042000           0.684430           0.614040           0.675350
 121.000	           0.733740           0.125910           0.136830           1.017400           0.681500           0.598730           0.653010
 122.000	           0.710760           0.124700           0.134700           0.996370           0.675430           0.582450           0.633970
 123.000	           0.687560           0.123710           0.132630           0.978390           0.666280           0.565410           0.618030
 124.000	           0.664410           0.122910           0.130640           0.963030           0.654190           0.547830           0.604900
 125.000	           0.641560           0.122250           0.128740           0.949810           0.639380           0.529930           0.594290
 126.000	           0.619260           0.121710           0.126940           0.938250           0.622100           0.511930           0.585860
 127.000	           0.597700           0.121250           0.125250           0.927910           0.602690           0.494060           0.579260
 128.000	           0.577100           0.120850           0.123680           0.918340           0.581490           0.476520           0.574130
 129.000	           0.557600           0.120470           0.122220           0.909150           0.558890           0.459490           0.570120
 130.000	           0.539350           0.120090           0.120880           0.900000           0.535250           0.443160           0.566910
