#16N(d,t)15N(1/2- 0.00) ELAB= 24.000
#16N(d,t)15N(1/2- 0.00) ELAB= 24.000
#16N(d,t)15N(1/2- 2.00) ELAB= 24.000
#16N(d,t)15N(1/2- 4.00) ELAB= 24.000
#16N(d,t)15N(1/2- 6.00) ELAB= 24.000
   Angel	   Ex=0.00(0d5/2)Kx   Ex=0.00(1s1/2)Kx   Ex=2.00(0d5/2)Kx   Ex=4.00(0d5/2)Kx   Ex=6.00(0d5/2)Kx
  83.000	           0.023844           0.034629           0.038707           0.051814           0.057097
  83.500	           0.022607           0.034953           0.036730           0.049221           0.054329
  84.000	           0.021483           0.035116           0.034923           0.046814           0.051701
  84.500	           0.020464           0.035122           0.033276           0.044590           0.049220
  85.000	           0.019542           0.034978           0.031783           0.042546           0.046891
  85.500	           0.018710           0.034691           0.030434           0.040677           0.044716
  86.000	           0.017960           0.034271           0.029220           0.038977           0.042698
  86.500	           0.017285           0.033726           0.028131           0.037440           0.040837
  87.000	           0.016677           0.033067           0.027157           0.036057           0.039131
  87.500	           0.016129           0.032304           0.026289           0.034820           0.037577
  88.000	           0.015635           0.031446           0.025516           0.033721           0.036173
  88.500	           0.015188           0.030506           0.024830           0.032748           0.034913
  89.000	           0.014781           0.029494           0.024219           0.031894           0.033791
  89.500	           0.014411           0.028419           0.023676           0.031147           0.032801
  90.000	           0.014070           0.027293           0.023190           0.030497           0.031936
  90.500	           0.013755           0.026126           0.022755           0.029934           0.031189
  91.000	           0.013460           0.024927           0.022361           0.029448           0.030550
  91.500	           0.013182           0.023706           0.022001           0.029030           0.030011
  92.000	           0.012918           0.022472           0.021668           0.028669           0.029563
  92.500	           0.012663           0.021233           0.021356           0.028356           0.029197
  93.000	           0.012416           0.019998           0.021058           0.028082           0.028905
  93.500	           0.012173           0.018775           0.020770           0.027840           0.028677
  94.000	           0.011932           0.017570           0.020485           0.027620           0.028503
  94.500	           0.011692           0.016389           0.020201           0.027416           0.028377
  95.000	           0.011451           0.015238           0.019914           0.027221           0.028288
  95.500	           0.011208           0.014122           0.019620           0.027028           0.028229
  96.000	           0.010962           0.013045           0.019316           0.026833           0.028192
  96.500	           0.010712           0.012012           0.019002           0.026629           0.028169
  97.000	           0.010459           0.011025           0.018674           0.026413           0.028155
  97.500	           0.010201           0.010087           0.018333           0.026181           0.028142
  98.000	           0.009939           0.009199           0.017976           0.025930           0.028124
  98.500	           0.009673           0.008363           0.017605           0.025656           0.028097
  99.000	           0.009403           0.007579           0.017218           0.025359           0.028054
  99.500	           0.009130           0.006848           0.016816           0.025037           0.027993
 100.000	           0.008854           0.006171           0.016400           0.024688           0.027910
 100.500	           0.008576           0.005546           0.015971           0.024312           0.027800
 101.000	           0.008297           0.004973           0.015529           0.023909           0.027662
 101.500	           0.008017           0.004450           0.015076           0.023480           0.027494
 102.000	           0.007737           0.003978           0.014613           0.023024           0.027294
 102.500	           0.007458           0.003554           0.014142           0.022544           0.027060
 103.000	           0.007182           0.003178           0.013664           0.022040           0.026793
 103.500	           0.006907           0.002847           0.013182           0.021514           0.026492
 104.000	           0.006636           0.002560           0.012697           0.020968           0.026157
 104.500	           0.006370           0.002315           0.012210           0.020404           0.025789
 105.000	           0.006108           0.002112           0.011724           0.019824           0.025389
 105.500	           0.005852           0.001948           0.011239           0.019231           0.024958
 106.000	           0.005601           0.001820           0.010759           0.018625           0.024498
 106.500	           0.005358           0.001729           0.010284           0.018011           0.024009
 107.000	           0.005122           0.001671           0.009816           0.017391           0.023496
 107.500	           0.004893           0.001645           0.009357           0.016767           0.022959
 108.000	           0.004673           0.001649           0.008908           0.016141           0.022400
 108.500	           0.004461           0.001680           0.008469           0.015516           0.021823
 109.000	           0.004257           0.001737           0.008043           0.014894           0.021230
 109.500	           0.004062           0.001816           0.007630           0.014277           0.020623
 110.000	           0.003875           0.001916           0.007231           0.013668           0.020006
 110.500	           0.003698           0.002034           0.006847           0.013068           0.019379
 111.000	           0.003529           0.002167           0.006479           0.012479           0.018748
 111.500	           0.003369           0.002312           0.006127           0.011904           0.018112
 112.000	           0.003217           0.002466           0.005791           0.011343           0.017477
 112.500	           0.003074           0.002627           0.005471           0.010798           0.016843
 113.000	           0.002939           0.002791           0.005169           0.010270           0.016213
 113.500	           0.002812           0.002955           0.004884           0.009761           0.015589
 114.000	           0.002693           0.003117           0.004615           0.009271           0.014974
 114.500	           0.002581           0.003275           0.004363           0.008801           0.014369
 115.000	           0.002476           0.003425           0.004127           0.008352           0.013776
 115.500	           0.002379           0.003567           0.003908           0.007924           0.013196
